Datum;Temperatur;Windgeschwindigkeit;bewoelkung_time;wettercode_knn;temp_category;wettercode_agg
2012-11-22;9.1;14;4;3;medium;1
2012-11-23;6.7;10;7;61;medium;3
2012-11-26;8.1625;10;6;39;high;2
2012-11-27;7.625;8;7;20;high;2
2012-11-28;5.325;8;8;51;medium;3
2012-11-29;3.4625;14;7;61;medium;3
2012-11-30;0.725;10;2;17;low;2
2012-12-03;1.033333;8;8;10;medium;2
2012-12-04;1.375;8;7;69;low;2
2012-12-05;-4.7875;10;2;21;low;2
2012-12-06;-4.45;8;1;16;low;2
2012-12-07;-1.7875;8;4;10;low;2
2012-12-10;0.1875;18;8;71;low;5
2012-12-11;-1.8625;14;6;47;low;2
2012-12-12;-5.7375;4;3;10;low;2
2012-12-13;-2.0625;4;7;78;low;2
2012-12-14;-2.6875;10;7;10;low;2
2012-12-17;4.1875;4;8;47;medium;2
2012-12-18;3.6375;10;8;61;medium;3
2012-12-19;2.8625;6;7;20;low;2
2012-12-20;2.0875;12;7;5;medium;2
2012-12-21;-0.2125;10;7;13;low;2
2013-04-30;11.116666;15;3;0;medium;1
2013-05-01;9.9;11;0;3;medium;1
2013-05-02;11.0375;12;1;4;medium;2
2013-05-03;12.9125;9;0;5;medium;2
2013-05-04;17.95;18;0;3;high;1
2013-05-05;16.2125;10;3;13;medium;2
2013-05-06;15.675;8;0;1;medium;1
2013-05-07;17.4125;10;1;21;medium;2
2013-05-08;18.8125;9;4;21;medium;2
2013-05-09;16.125;11;7;21;medium;2
2013-05-10;15.5;12;5;21;medium;2
2013-05-11;15.4125;11;7;54;medium;2
2013-05-12;11.7125;12;7;61;medium;3
2013-05-13;11.4375;10;7;65;medium;4
2013-05-14;12.6;10;5;21;medium;2
2013-05-15;20.5375;10;4;61;high;3
2013-05-16;16.1625;13;0;5;medium;2
2013-05-17;21.3125;11;0;5;high;2
2013-05-18;13.85;12;7;10;medium;2
2013-05-19;13.05;5;8;20;medium;2
2013-05-20;15.775;8;7;21;medium;2
2013-05-21;12.525;9;7;65;low;4
2013-05-22;9.0625;23;7;63;low;3
2013-05-23;10.525;8;5;61;low;3
2013-05-24;12.5;8;5;61;low;3
2013-05-25;11.3375;11;7;63;low;3
2013-05-26;14.1625;15;7;63;medium;3
2013-05-27;14.7875;10;6;39;medium;2
2013-05-28;15.4;10;6;20;medium;2
2013-05-29;13.6625;14;7;61;medium;3
2013-05-30;16.125;11;4;21;medium;2
2013-05-31;17.65;12;3;19;medium;2
2013-06-01;20.3875;10;3;21;medium;2
2013-06-02;14.975;18;2;6;medium;2
2013-06-03;17.35;13;0;3;medium;1
2013-06-04;17.1625;15;3;37;medium;2
2013-06-05;19.0875;9;4;37;medium;2
2013-06-06;20.85;12;0;3;medium;1
2013-06-07;19.7;8;0;4;medium;2
2013-06-08;16.9625;9;1;5;medium;2
2013-06-09;15.8875;7;4;19;medium;2
2013-06-10;17.725;8;2;0;medium;1
2013-06-11;16.6625;9;2;6;medium;2
2013-06-12;22.35;7;5;52;high;2
2013-06-14;16.7125;16;2;0;medium;1
2013-06-15;17.0875;27;6;61;medium;3
2013-06-16;15.5875;16;7;21;medium;2
2013-06-17;17.9;8;0;2;medium;1
2013-06-18;20.05;10;1;0;medium;1
2013-06-19;23.5375;10;6;63;medium;3
2013-06-20;21.8375;10;2;6;medium;2
2013-06-21;19.575;14;7;63;medium;3
2013-06-22;19.7375;10;6;67;medium;4
2013-06-23;17.5375;10;6;21;medium;2
2013-06-24;15.95;12;7;63;medium;3
2013-06-25;15.175;10;7;21;medium;2
2013-06-26;13.825;18;7;61;low;3
2013-06-27;12.55;10;7;61;low;3
2013-06-28;13.05;10;7;61;low;3
2013-06-29;14.8375;16;6;61;low;3
2013-06-30;14.0125;15;7;63;low;3
2013-07-01;17.8375;15;6;20;medium;2
2013-07-02;17.3125;10;3;18;medium;2
2013-07-03;21.075;6;7;61;medium;3
2013-07-04;18.85;7;7;20;medium;2
2013-07-05;19.975;12;5;37;medium;2
2013-07-06;18.9625;8;0;3;medium;1
2013-07-07;21.375;9;0;3;medium;1
2013-07-08;22.725;10;0;5;medium;2
2013-07-09;23.275;8;0;2;high;1
2013-07-10;19.6875;13;2;5;medium;2
2013-07-11;21.375;12;0;5;medium;2
2013-07-12;20.2875;7;0;2;medium;1
2013-07-13;20.125;12;1;2;medium;1
2013-07-14;17.6875;15;5;5;medium;2
2013-07-15;18.7375;12;6;37;medium;2
2013-07-16;21.1875;10;1;2;medium;1
2013-07-17;22.5125;8;5;62;medium;2
2013-07-18;23.25;11;1;5;medium;2
2013-07-19;22.475;16;3;5;medium;2
2013-07-20;23.1875;8;0;1;medium;1
2013-07-21;26.375;8;0;1;high;1
2013-07-22;26.1;9;0;1;medium;1
2013-07-23;24.95;12;0;3;medium;1
2013-07-24;24.075;11;3;21;medium;2
2013-07-25;23.0875;9;2;14;medium;2
2013-07-26;27.2625;6;3;46;medium;2
2013-07-27;26.1625;10;1;0;medium;1
2013-07-28;24.8875;13;4;61;medium;3
2013-07-29;22.7875;10;1;7;medium;2
2013-07-30;21.075;13;5;21;medium;2
2013-07-31;20.275;16;5;65;medium;4
2013-08-01;23.4;7;6;21;medium;2
2013-08-02;31.4375;7;0;14;high;2
2013-08-03;23.3625;11;4;63;medium;3
2013-08-04;23.05;8;3;22;medium;2
2013-08-05;25.8;10;0;1;high;1
2013-08-06;22.225;13;5;21;medium;2
2013-08-07;19.2125;8;4;17;medium;2
2013-08-08;16.975;12;7;20;low;2
2013-08-09;20.3375;10;4;21;medium;2
2013-08-10;19.3625;12;7;61;medium;3
2013-08-11;16.3875;9;7;61;medium;3
2013-08-12;16.45;11;7;63;medium;3
2013-08-13;16.4;16;3;95;low;4
2013-08-14;18.2625;18;4;61;medium;3
2013-08-15;19.8;8;3;15;medium;2
2013-08-16;23.575;11;4;0;medium;1
2013-08-17;20.55;7;6;0;medium;1
2013-08-18;18.5875;10;7;63;medium;3
2013-08-19;18.4875;8;5;51;medium;3
2013-08-20;17.775;8;7;61;medium;3
2013-08-21;20.125;8;5;33;medium;2
2013-08-22;21.6625;8;4;30;medium;2
2013-08-23;22.0375;14;1;15;medium;2
2013-08-24;20.85;16;0;5;medium;2
2013-08-25;21.3875;16;0;5;medium;2
2013-08-26;20.125;15;0;5;medium;2
2013-08-27;21.0875;12;1;4;high;2
2013-08-28;21.3;7;0;2;medium;1
2013-08-29;20.2125;11;3;28;medium;2
2013-08-30;19.7875;8;6;5;medium;2
2013-08-31;18.35;16;5;21;medium;2
2013-09-01;15.8625;16;7;61;low;3
2013-09-02;16.575;17;7;63;low;3
2013-09-03;18.225;11;7;21;medium;2
2013-09-04;18.125;5;7;52;medium;2
2013-09-05;21.7;8;0;2;medium;1
2013-09-06;24.7;9;0;1;high;1
2013-09-07;22.7625;7;6;44;high;2
2013-09-08;20.1625;8;7;61;medium;3
2013-09-09;11.575;11;8;63;low;3
2013-09-10;13.5875;11;6;65;low;4
2013-09-11;13.9;8;6;61;low;3
2013-09-12;16.1125;6;6;61;medium;3
2013-09-13;17.4375;5;6;21;medium;2
2013-09-14;17.625;10;5;63;medium;3
2013-09-15;14.8625;10;7;21;medium;2
2013-09-16;13.1375;13;3;21;medium;2
2013-09-17;13.1375;10;5;63;low;3
2013-09-18;13.05;9;4;44;low;2
2013-09-19;14.8375;11;5;63;medium;3
2013-09-20;13.525;6;7;38;medium;2
2013-09-21;15.35;9;7;39;medium;2
2013-09-22;17.1375;14;6;21;medium;2
2013-09-23;17.3125;14;7;21;medium;2
2013-09-24;15.7375;10;8;54;medium;2
2013-09-25;13.5375;7;6;61;medium;3
2013-09-26;12.9875;12;1;4;low;2
2013-09-27;13.0125;8;5;21;low;2
2013-09-28;13.1;8;0;8;medium;2
2013-09-29;14.175;12;3;24;medium;2
2013-09-30;12.825;14;1;7;low;2
2013-10-01;12.9125;13;0;5;medium;2
2013-10-02;12.7;10;1;5;medium;2
2013-10-03;11.7625;12;0;5;low;2
2013-10-04;11.2;8;5;63;medium;3
2013-10-05;15.575;8;7;20;medium;2
2013-10-06;15.25;6;7;53;medium;3
2013-10-07;16.275;7;1;2;high;1
2013-10-08;15.1125;8;6;61;high;3
2013-10-09;14.3125;10;7;21;medium;2
2013-10-10;10.975;6;5;31;medium;2
2013-10-11;13.8625;20;7;10;medium;2
2013-10-12;13.025;21;8;63;medium;3
2013-10-13;10.8625;5;5;21;medium;2
2013-10-14;12.525;6;2;4;medium;2
2013-10-15;10.6625;4;7;63;medium;3
2013-10-16;12.275;7;8;59;medium;2
2013-10-17;12.0;15;7;65;medium;4
2013-10-18;9.075;9;1;8;low;2
2013-10-19;9.45;9;7;46;medium;2
2013-10-20;15.1875;8;7;21;medium;2
2013-10-21;14.2625;8;7;61;high;3
2013-10-22;17.6375;7;2;2;high;1
2013-10-23;17.675;9;6;42;high;2
2013-10-24;12.6875;12;5;61;medium;3
2013-10-25;11.8875;7;7;61;medium;3
2013-10-26;16.775;10;5;21;high;2
2013-10-27;14.9875;16;6;65;medium;4
2013-10-28;14.3625;29;7;63;medium;3
2013-10-29;10.775;17;7;63;medium;3
2013-10-30;10.4375;10;6;61;medium;3
2013-10-31;11.1625;13;5;21;medium;2
2013-11-01;10.625;9;8;63;medium;3
2013-11-02;8.8875;3;8;63;medium;3
2013-11-03;10.7;15;6;21;medium;2
2013-11-04;6.8375;7;7;63;low;3
2013-11-05;8.9;12;4;61;medium;3
2013-11-06;8.1375;12;4;63;medium;3
2013-11-07;9.5;10;6;61;medium;3
2013-11-08;9.325;9;3;4;medium;2
2013-11-09;7.7;16;5;63;medium;3
2013-11-10;6.9875;12;2;63;medium;3
2013-11-11;8.3125;5;2;9;medium;2
2013-11-12;5.9375;9;7;61;medium;3
2013-11-13;8.8;12;1;0;medium;1
2013-11-14;6.9375;9;5;21;medium;2
2013-11-15;6.45;6;7;21;low;2
2013-11-16;8.875;12;8;49;medium;2
2013-11-17;8.8875;8;2;0;medium;1
2013-11-18;6.65;5;7;63;medium;3
2013-11-19;5.8375;8;8;61;medium;3
2013-11-20;3.85;6;6;27;low;2
2013-11-21;3.275;8;2;10;medium;2
2013-11-22;5.375;10;7;21;medium;2
2013-11-23;4.9125;6;3;33;medium;2
2013-11-24;4.6;16;0;14;medium;2
2013-11-25;3.7;10;0;8;medium;2
2013-11-26;2.3125;6;2;23;low;2
2013-11-27;7.3125;12;8;61;high;3
2013-11-28;8.025;18;2;22;high;2
2013-11-29;5.9875;11;8;63;medium;3
2013-11-30;5.525;10;7;20;medium;2
2013-12-01;8.6625;20;5;61;medium;3
2013-12-02;3.0625;4;0;10;medium;2
2013-12-03;1.7125;6;8;28;medium;2
2013-12-04;5.85;11;7;63;medium;3
2013-12-05;4.4625;24;7;63;medium;3
2013-12-06;1.7875;25;6;73;medium;5
2013-12-07;1.0;11;5;22;medium;2
2013-12-08;6.975;16;8;63;medium;3
2013-12-09;9.2375;10;7;45;medium;2
2013-12-10;7.1875;8;7;61;medium;3
2013-12-11;5.025;9;7;10;medium;2
2013-12-12;2.525;8;8;28;medium;2
2013-12-13;3.5375;6;7;61;medium;3
2013-12-14;3.0125;7;7;61;medium;3
2013-12-15;7.925;12;8;61;high;3
2013-12-16;8.775;12;8;49;high;2
2013-12-17;4.95;8;8;61;medium;3
2013-12-18;6.85;8;7;10;medium;2
2013-12-19;7.4;10;7;63;medium;3
2013-12-20;5.2875;10;7;61;medium;3
2013-12-21;6.5625;13;8;63;medium;3
2013-12-22;8.1375;12;7;61;medium;3
2013-12-23;5.4875;10;3;23;low;2
2013-12-24;11.4375;18;7;61;high;3
2013-12-25;8.5625;13;6;21;medium;2
2013-12-26;3.775;6;6;28;medium;2
2013-12-27;5.7625;15;7;63;medium;3
2013-12-28;7.0625;9;7;21;medium;2
2013-12-29;5.7125;9;7;63;medium;3
2013-12-30;4.75;11;4;10;medium;2
2013-12-31;5.0375;7;4;39;medium;2
2014-01-01;4.5125;8;5;63;medium;3
2014-01-02;6.25;9;7;63;medium;3
2014-01-03;6.8375;10;7;63;medium;3
2014-01-04;6.9375;11;5;25;medium;2
2014-01-05;6.1875;11;7;63;medium;3
2014-01-06;7.9125;11;7;65;high;4
2014-01-07;10.4375;13;7;21;high;2
2014-01-08;8.6375;15;7;63;high;3
2014-01-09;9.6125;16;7;61;high;3
2014-01-10;6.6375;17;7;61;medium;3
2014-01-11;5.5875;18;7;63;medium;3
2014-01-12;5.525;16;2;21;medium;2
2014-01-13;3.1375;10;8;69;medium;2
2014-01-14;4.225;6;6;28;high;2
2014-01-15;3.228571;7;7;28;medium;2
2014-01-16;2.7375;9;8;63;medium;3
2014-01-17;6.7375;4;7;61;high;3
2014-01-18;5.8875;8;7;61;high;3
2014-01-19;2.8625;19;7;10;medium;2
2014-01-20;0.3875;13;8;61;medium;3
2014-01-21;-0.65;7;7;77;medium;4
2014-01-22;-3.1125;14;8;22;low;2
2014-01-23;-3.1875;11;8;22;low;2
2014-01-24;-5.1625;13;2;10;low;2
2014-01-25;-7.0375;8;5;66;low;4
2014-01-26;-8.475;10;1;10;low;2
2014-01-27;0.7;9;5;69;medium;2
2014-01-28;-0.2625;10;7;10;low;2
2014-01-29;-5.05;13;7;77;low;4
2014-01-30;-4.4875;8;7;77;low;4
2014-01-31;-3.6875;7;8;10;low;2
2014-02-01;3.225;10;7;63;medium;3
2014-02-02;5.4875;8;0;5;medium;2
2014-02-03;3.475;8;1;10;medium;2
2014-02-04;3.925;6;5;10;medium;2
2014-02-05;3.675;8;4;10;medium;2
2014-02-06;7.875;11;7;20;medium;2
2014-02-07;8.475;15;7;63;high;3
2014-02-08;6.2875;12;7;61;medium;3
2014-02-09;6.7125;15;5;63;medium;3
2014-02-10;6.6375;9;2;19;medium;2
2014-02-11;4.925;12;7;61;medium;3
2014-02-12;6.1;13;4;10;high;2
2014-02-13;7.45;13;5;40;high;2
